10.49.6.21,GCV Centennial,TD Garden,CCU 1,NESN BRUINS 4K,CAM 1,GAME,2160p,,NBC SPORTS BOSTON ,CAM 1,GAME,1080i
10.49.6.22,GCV Centennial,TD Garden,CCU 2,NESN BRUINS 4K,CAM 2,TIGHT FOLLOW,1080p 6X,,NBC SPORTS BOSTON ,CAM 2,TIGHT MO ,1080i 6X
10.49.6.23,GCV Centennial,TD Garden,CCU 3,,,,,,NBC SPORTS BOSTON ,,,
10.49.6.24,GCV Centennial,TD Garden,CCU 4,NESN BRUINS 4K,CAM 4,R HH,1080p 6X,,NBC SPORTS BOSTON ,CAM 4,RHH MO ,1080i 6X
10.49.6.25,GCV Centennial,TD Garden,CCU 5,NESN BRUINS 4K,CAM 5,R SLASH,2160p,,NBC SPORTS BOSTON ,CAM 5,L SLASH,1080i
10.49.6.26,GCV Centennial,TD Garden,CCU 6,NESN BRUINS 4K,CAM 6,TIGHT ISO,2160p,,NBC SPORTS BOSTON ,CAM 6,R LO SLASH,1080i
10.49.6.27,GCV Centennial,TD Garden,CCU 7,NESN BRUINS 4K,CAM 9 ,REVERSE,2160p,,NBC SPORTS BOSTON ,CAM 23,NBA MOBILE,1080i
10.49.6.28,GCV Centennial,TD Garden,CCU 8,NESN BRUINS 4K,CAM 13,BEAUTY,2160p,,NBC SPORTS BOSTON ,CAM 9,BEAUTY,1080i
10.49.6.29,GCV Centennial,TD Garden,CCU 9,NESN BRUINS 4K,CAM 19,BOOTH,2160p,,NBC SPORTS BOSTON ,,,
10.49.6.30,GCV Centennial,TD Garden,CCU 10,NESN BRUINS 4K,CAM 27,STUDIO,2160p,,NBC SPORTS BOSTON ,CAM 3,L HH,1080i
